d2star	NC_003216	NC_003291	NC_004086	NC_004112	NC_004584	NC_004585	NC_004588	NC_004735	NC_004902	NC_005258	NC_006552	NC_006936	NC_007409	NC_007709	NC_007806	NC_008201	NC_008376	NC_008723	NC_009018	NC_009231	NC_009543	NC_009552	NC_009812	NC_009813	NC_009815	NC_009819	NC_011398	NC_015262	NC_015568	NC_019421	NC_019422	NC_020202
NC_003216	1.00E+00	5.44E-01	5.93E-01	5.93E-01	6.47E-01	5.44E-01	5.93E-01	4.99E-01	5.93E-01	5.93E-01	5.44E-01	5.93E-01	6.47E-01	5.93E-01	5.93E-01	4.99E-01	4.57E-01	5.44E-01	5.93E-01	2.71E-01	7.06E-01	5.44E-01	5.44E-01	4.57E-01	4.57E-01	5.93E-01	1.48E-01	4.18E-03	2.95E-03	6.75E-02	1.60E-03	5.44E-01
NC_003291	5.44E-01	1.00E+00	5.44E-01	6.47E-01	4.99E-01	4.99E-01	5.44E-01	5.44E-01	5.44E-01	5.44E-01	4.99E-01	5.44E-01	4.99E-01	5.44E-01	5.44E-01	4.57E-01	4.19E-01	4.99E-01	5.44E-01	2.49E-01	5.44E-01	4.99E-01	4.19E-01	4.99E-01	4.99E-01	6.47E-01	1.35E-01	4.56E-03	2.27E-03	7.36E-02	1.24E-03	4.99E-01
NC_004086	5.93E-01	5.44E-01	1.00E+00	5.93E-01	5.44E-01	5.44E-01	5.93E-01	4.99E-01	5.93E-01	5.93E-01	6.47E-01	5.93E-01	5.44E-01	5.93E-01	5.93E-01	4.99E-01	4.57E-01	5.44E-01	5.93E-01	2.28E-01	5.93E-01	5.44E-01	4.57E-01	4.57E-01	4.57E-01	5.93E-01	1.48E-01	4.18E-03	2.95E-03	6.75E-02	1.60E-03	5.44E-01
NC_004112	5.93E-01	6.47E-01	5.93E-01	1.00E+00	5.44E-01	5.44E-01	5.93E-01	5.93E-01	5.93E-01	5.93E-01	5.44E-01	5.93E-01	5.44E-01	5.93E-01	5.93E-01	4.99E-01	4.57E-01	5.44E-01	5.93E-01	2.28E-01	5.93E-01	5.44E-01	4.57E-01	4.57E-01	6.47E-01	5.93E-01	1.48E-01	4.97E-03	2.95E-03	6.75E-02	1.35E-03	5.44E-01
NC_004584	6.47E-01	4.99E-01	5.44E-01	5.44E-01	1.00E+00	4.99E-01	5.44E-01	4.57E-01	5.44E-01	5.44E-01	4.99E-01	5.44E-01	5.93E-01	5.44E-01	5.44E-01	4.57E-01	4.19E-01	4.99E-01	5.44E-01	2.96E-01	5.44E-01	4.99E-01	4.19E-01	4.19E-01	4.99E-01	5.44E-01	1.35E-01	3.83E-03	3.22E-03	7.36E-02	1.75E-03	4.99E-01
NC_004585	5.44E-01	4.99E-01	5.44E-01	5.44E-01	4.99E-01	1.00E+00	5.44E-01	4.57E-01	5.44E-01	5.44E-01	4.99E-01	6.47E-01	4.99E-01	6.47E-01	5.44E-01	4.57E-01	4.19E-01	4.99E-01	5.44E-01	2.09E-01	5.44E-01	5.93E-01	4.19E-01	4.99E-01	4.19E-01	5.44E-01	2.28E-01	5.42E-03	2.27E-03	6.19E-02	1.75E-03	4.99E-01
NC_004588	5.93E-01	5.44E-01	5.93E-01	5.93E-01	5.44E-01	5.44E-01	1.00E+00	7.06E-01	5.93E-01	5.93E-01	5.44E-01	5.93E-01	5.44E-01	5.93E-01	5.93E-01	4.99E-01	4.57E-01	5.44E-01	5.93E-01	2.71E-01	5.93E-01	5.44E-01	4.57E-01	4.57E-01	4.57E-01	5.93E-01	1.76E-01	4.97E-03	2.48E-03	8.03E-02	1.35E-03	5.44E-01
NC_004735	4.99E-01	5.44E-01	4.99E-01	5.93E-01	4.57E-01	4.57E-01	7.06E-01	1.00E+00	4.99E-01	4.99E-01	4.57E-01	4.99E-01	5.44E-01	4.99E-01	4.99E-01	4.19E-01	3.84E-01	4.57E-01	4.99E-01	2.28E-01	4.99E-01	4.57E-01	3.84E-01	3.84E-01	4.57E-01	4.99E-01	1.76E-01	5.91E-03	2.95E-03	6.75E-02	1.35E-03	4.57E-01
NC_004902	5.93E-01	5.44E-01	5.93E-01	5.93E-01	5.44E-01	5.44E-01	5.93E-01	4.99E-01	1.00E+00	5.93E-01	5.44E-01	5.93E-01	5.44E-01	5.93E-01	5.93E-01	4.99E-01	5.44E-01	5.44E-01	5.93E-01	2.28E-01	5.93E-01	5.44E-01	5.44E-01	4.57E-01	4.57E-01	5.93E-01	1.48E-01	3.51E-03	2.48E-03	6.75E-02	1.60E-03	5.44E-01
NC_005258	5.93E-01	5.44E-01	5.93E-01	5.93E-01	5.44E-01	5.44E-01	5.93E-01	4.99E-01	5.93E-01	1.00E+00	5.44E-01	5.93E-01	5.44E-01	5.93E-01	5.93E-01	4.99E-01	4.57E-01	5.44E-01	5.93E-01	2.28E-01	5.93E-01	5.44E-01	4.57E-01	4.57E-01	5.44E-01	7.06E-01	1.76E-01	4.18E-03	2.48E-03	9.56E-02	1.35E-03	5.44E-01
